Vg	Ve	g	PEV	resid	pred	BLUP_EBVAcc
12.334348	55.548879	1.455159	7.260153	8.194684	35.229529	0.6414
12.334348	55.548879	2.22152	7.066521	8.779962	35.99589	0.6535
12.334348	55.548879	1.605297	7.065728	3.229528	35.379667	0.6536
12.334348	55.548879	1.161984	7.034916	4.450122	34.936354	0.6555
12.334348	55.548879	-0.012741	7.076538	1.48068	33.761629	0.6529
12.334348	55.548879	-3.116973	7.063463	-11.749524	30.657397	0.6537
12.334348	55.548879	0.942404	7.111734	-8.478839	34.716774	0.6507
12.334348	55.548879	-3.501311	7.108739	6.292071	30.273059	0.6509
12.334348	55.548879	1.884607	7.33379	11.132122	35.658977	0.6367
12.334348	55.548879	2.456586	7.077661	7.859712	36.230956	0.6528
12.334348	55.548879	2.752823	7.265042	-1.061784	36.527193	0.6411
12.334348	55.548879	0.906633	7.152974	7.233198	34.681003	0.6481
12.334348	55.548879	2.664699	7.061402	0.047025	36.439069	0.6538
12.334348	55.548879	-1.429322	7.117623	-18.371431	32.345048	0.6503
12.334348	55.548879	-2.656864	7.019477	-5.821831	31.117506	0.6564
12.334348	55.548879	0.111563	7.15222	5.730886	33.885933	0.6482
12.334348	55.548879	0.235323	7.144324	-8.430992	34.009693	0.6487
12.334348	55.548879	-2.781311	7.282814	-2.165797	30.993059	0.64
12.334348	55.548879	-0.001844	7.121183	7.709807	33.772526	0.6501
12.334348	55.548879	-0.568245	7.796019	0.200654	33.206125	0.6066
12.334348	55.548879	4.278191	7.045957	5.203191	38.05256	0.6548
12.334348	55.548879	-3.044625	7.169372	-4.529546	30.729745	0.6471
12.334348	55.548879	-4.617944	7.146448	-20.398008	29.156425	0.6485
12.334348	55.548879	0.637248	7.035418	-0.276272	34.411618	0.6554
12.334348	55.548879	-0.80664	7.125008	0.460857	32.96773	0.6499
12.334348	55.548879	1.644714	7.015862	6.06325	35.419084	0.6567
12.334348	55.548879	-1.929649	7.071454	-16.531612	31.84472	0.6532
12.334348	55.548879	-2.550282	7.065786	-0.590726	31.224088	0.6536
12.334348	55.548879	-1.738303	7.169655	7.236737	32.036066	0.6471
12.334348	55.548879	1.770109	7.233326	0.34271	35.544478	0.6431
12.334348	55.548879	1.403008	7.002415	-5.233746	35.177378	0.6575
12.334348	55.548879	2.526708	7.001075	4.887633	36.301078	0.6576
12.334348	55.548879	0.580696	7.146043	7.881575	34.355066	0.6486
12.334348	55.548879	1.557372	7.106307	-4.683134	35.331742	0.651
12.334348	55.548879	0.817759	7.066038	-3.863973	34.592129	0.6535
12.334348	55.548879	1.610201	7.104033	-1.955984	35.384571	0.6512
12.334348	55.548879	1.020544	7.32568	3.349351	34.794914	0.6372
