Vg	Ve	g	PEV	resid	pred	GBLUP_EBVAcc
15.786477	53.118097	-0.348595	7.378535	8.551591	33.415759	0.7298
15.786477	53.118097	2.218024	7.493721	7.99274	35.982378	0.7248
15.786477	53.118097	1.792619	7.46294	2.423966	35.556973	0.7261
15.786477	53.118097	3.054763	7.231406	2.685362	36.819117	0.7362
15.786477	53.118097	0.607224	7.09722	1.906671	34.371579	0.7419
15.786477	53.118097	-1.534364	7.11912	-6.946023	32.22999	0.741
15.786477	53.118097	0.79327	6.85603	-9.271557	34.557624	0.7521
15.786477	53.118097	-2.520471	7.02086	6.0615	31.243883	0.7452
15.786477	53.118097	-0.101185	7.435967	9.252177	33.663169	0.7273
15.786477	53.118097	-2.734128	7.784097	9.025359	31.030226	0.712
15.786477	53.118097	0.123288	7.54255	0.111251	33.887642	0.7226
15.786477	53.118097	0.245588	7.306907	7.629138	34.009943	0.7329
15.786477	53.118097	1.267558	7.055391	-0.26452	35.031912	0.7437
15.786477	53.118097	1.054359	7.278195	-19.032167	34.818713	0.7341
15.786477	53.118097	2.229485	7.062964	-5.914258	35.993839	0.7434
15.786477	53.118097	2.745125	7.172171	6.69756	36.509479	0.7387
15.786477	53.118097	2.95583	7.229573	-7.648837	36.720184	0.7362
15.786477	53.118097	-0.416602	7.354892	-2.063039	33.347752	0.7308
15.786477	53.118097	0.299501	7.136522	6.64561	34.063855	0.7402
15.786477	53.118097	0.70362	7.373535	0.466668	34.467974	0.73
15.786477	53.118097	1.258511	7.563879	4.771243	35.022865	0.7217
15.786477	53.118097	-1.548373	7.770931	-4.037237	32.215981	0.7126
15.786477	53.118097	-0.397548	7.038651	-20.974647	33.366806	0.7444
15.786477	53.118097	0.28822	7.265136	3.399441	34.052574	0.7347
15.786477	53.118097	2.599708	7.150411	-2.158308	36.364062	0.7396
15.786477	53.118097	-1.436711	7.572038	3.731457	32.327643	0.7214
15.786477	53.118097	1.567246	7.281674	-14.495001	35.3316	0.734
15.786477	53.118097	0.708523	7.176437	-2.555545	34.472878	0.7385
15.786477	53.118097	0.07859	7.763555	7.814426	33.842944	0.7129
15.786477	53.118097	2.492885	6.734753	5.752827	36.257239	0.7572
15.786477	53.118097	2.269311	7.605618	-3.684706	36.033665	0.7199
15.786477	53.118097	0.001702	7.548171	4.439154	33.766056	0.7224
15.786477	53.118097	0.27483	7.848825	7.143665	34.039184	0.7091
15.786477	53.118097	-0.241733	7.075033	-3.340595	33.522621	0.7429
15.786477	53.118097	1.152738	7.153315	-4.716634	34.917093	0.7395
15.786477	53.118097	-3.840141	6.875881	-0.460871	29.924213	0.7513
15.786477	53.118097	0.524602	7.024016	3.71006	34.288956	0.745
15.786477	53.118097	1.113857	6.164613	-10.019079	34.878211	0.7807
15.786477	53.118097	0.066259	7.455995	3.25407	33.830613	0.7264
15.786477	53.118097	-0.852689	6.946946	7.979821	32.911666	0.7483
15.786477	53.118097	-0.866654	7.233118	-14.130155	32.8977	0.7361
15.786477	53.118097	2.444978	6.849065	7.979453	36.209332	0.7524
15.786477	53.118097	2.249479	6.426102	-6.976173	36.013833	0.77
15.786477	53.118097	0.456922	7.073698	1.303605	34.221276	0.7429
15.786477	53.118097	1.629523	7.302939	6.778934	35.393877	0.7331
15.786477	53.118097	2.481608	6.8857	4.719459	36.245963	0.7509
15.786477	53.118097	0.621658	6.81301	3.044047	34.386012	0.7539
15.786477	53.118097	2.112836	6.711826	6.717751	35.87719	0.7582
15.786477	53.118097	1.125545	6.945018	2.474893	34.889899	0.7484
15.786477	53.118097	1.295383	6.765884	7.086195	35.059737	0.7559
15.786477	53.118097	-0.430861	6.974602	5.29317	33.333493	0.7471
15.786477	53.118097	1.805312	6.81995	2.507163	35.569666	0.7536
15.786477	53.118097	2.918456	7.296865	5.24104	36.68281	0.7333
15.786477	53.118097	0.486413	6.525493	5.967834	34.250767	0.7659
15.786477	53.118097	0.752021	6.414976	-8.776511	34.516375	0.7705
15.786477	53.118097	2.352154	6.889069	10.019223	36.116508	0.7507
15.786477	53.118097	1.472748	6.950245	2.984844	35.237102	0.7482
15.786477	53.118097	4.297666	6.910719	3.717169	38.06202	0.7498
15.786477	53.118097	-0.271986	7.145512	-1.985675	33.492368	0.7398
15.786477	53.118097	2.515438	7.52222	-10.806235	36.279792	0.7235
15.786477	53.118097	3.810626	6.669522	5.631024	37.57498	0.7599
15.786477	53.118097	1.885108	6.824151	6.004818	35.649462	0.7535
15.786477	53.118097	1.261818	6.71648	9.791712	35.026172	0.758
15.786477	53.118097	3.537987	6.691495	1.080716	37.302341	0.759
15.786477	53.118097	2.926113	6.88562	5.508181	36.690467	0.7509
15.786477	53.118097	1.43474	6.393877	-10.309923	35.199094	0.7713
15.786477	53.118097	-3.017474	7.781479	11.252138	30.74688	0.7121
15.786477	53.118097	-0.400951	6.879518	-12.50074	33.363403	0.7511
15.786477	53.118097	3.621641	6.568062	0.848253	37.385995	0.7642
15.786477	53.118097	-1.169672	6.020171	-0.07839	32.594682	0.7865
15.786477	53.118097	2.121672	6.452425	5.899858	35.886026	0.7689
15.786477	53.118097	0.792425	6.680361	7.647982	34.556779	0.7595
15.786477	53.118097	2.907733	6.683602	-4.07899	36.672087	0.7594
15.786477	53.118097	0.203234	6.547411	-8.596777	33.967589	0.765
15.786477	53.118097	2.904429	6.422235	-5.140319	36.668783	0.7702
15.786477	53.118097	0.780927	6.40505	2.308057	34.545282	0.7709
15.786477	53.118097	-0.243861	6.718837	5.061253	33.520494	0.7579
15.786477	53.118097	0.941986	6.543481	-5.97451	34.70634	0.7652
15.786477	53.118097	-0.247	6.182457	4.628905	33.517354	0.78
15.786477	53.118097	2.773889	6.481417	5.217613	36.538244	0.7677
15.786477	53.118097	0.680862	6.406717	-4.32275	34.445216	0.7708
15.786477	53.118097	0.322058	7.259296	7.516738	34.086412	0.735
15.786477	53.118097	2.832586	6.7115	1.938193	36.59694	0.7582
15.786477	53.118097	-2.438282	6.734897	5.846583	31.326073	0.7572
15.786477	53.118097	3.241443	6.616419	-3.912493	37.005797	0.7622
15.786477	53.118097	-0.926907	7.552026	-14.484335	32.837447	0.7222
15.786477	53.118097	2.370338	6.840131	0.381606	36.134692	0.7528
15.786477	53.118097	0.210154	6.73221	8.355049	33.974508	0.7573
15.786477	53.118097	0.312486	6.454673	-19.068091	34.07684	0.7688
15.786477	53.118097	0.392326	7.097924	-5.182049	34.15668	0.7419
15.786477	53.118097	0.132877	6.81759	-10.577293	33.897231	0.7537
15.786477	53.118097	-0.103874	7.066208	-16.461672	33.66048	0.7432
15.786477	53.118097	1.294628	6.780247	4.227565	35.058982	0.7553
15.786477	53.118097	0.759752	6.980936	-5.645974	34.524106	0.7469
15.786477	53.118097	-3.589814	6.632367	4.516806	30.17454	0.7615
15.786477	53.118097	-5.164975	6.418104	4.795923	28.599379	0.7704
